2023-08-14 10:34:08,961 | log | INFO | 22222
2023-08-14 10:38:59,949 | log | ERROR | 22222
2023-08-14 10:59:16,153 | log | ERROR | 22222
2023-08-14 11:07:23,019 | ERROR | 22222
2023-08-14 16:50:06,707 | log | INFO | {'id': 10, 'jsonrpc': '2.0'}
2023-08-14 16:50:06,750 | log | INFO | {'id': 2, 'jsonrpc': '2.0', 'result': ['rfqs']}
2023-08-14 16:50:11,708 | log | INFO | {'id': 10, 'jsonrpc': '2.0'}
2023-08-14 16:50:16,707 | log | INFO | {'id': 10, 'jsonrpc': '2.0'}
2023-08-14 16:50:21,714 | log | INFO | {'id': 10, 'jsonrpc': '2.0'}
2023-08-14 16:50:26,740 | log | INFO | {'id': 10, 'jsonrpc': '2.0'}
2023-08-14 16:50:31,741 | log | INFO | {'id': 10, 'jsonrpc': '2.0'}
2023-08-14 16:50:36,753 | log | INFO | {'id': 10, 'jsonrpc': '2.0'}
2023-08-14 16:50:41,758 | log | INFO | {'id': 10, 'jsonrpc': '2.0'}
2023-08-14 16:50:46,761 | log | INFO | {'id': 10, 'jsonrpc': '2.0'}
2023-08-14 16:50:51,758 | log | INFO | {'id': 10, 'jsonrpc': '2.0'}
2023-08-14 16:50:56,757 | log | INFO | {'id': 10, 'jsonrpc': '2.0'}
2023-08-14 16:51:01,755 | log | INFO | {'id': 10, 'jsonrpc': '2.0'}
2023-08-15 09:39:33,657 | log | ERROR | Don't get access_key
2023-08-15 10:23:53,788 | log | INFO | get access_key
2023-08-15 13:03:20,985 | log | INFO | Start connecting to database...
2023-08-15 13:03:21,224 | log | INFO | Successfully connected...
2023-08-15 13:03:21,225 | log | INFO | Establishing Table
2023-08-15 13:03:21,232 | log | INFO | Start read the data
2023-08-15 13:03:21,232 | log | INFO | write db done
2023-08-15 13:04:26,902 | log | INFO | Start connecting to database...
2023-08-15 13:04:26,971 | log | INFO | Successfully connected...
2023-08-15 13:04:26,972 | log | INFO | Establishing Table
2023-08-15 13:04:26,978 | log | INFO | Start read the data
2023-08-15 13:12:55,892 | log | INFO | Start connecting to database...
2023-08-15 13:12:55,953 | log | INFO | Successfully connected...
2023-08-15 13:12:55,954 | log | INFO | Establishing Table
2023-08-15 13:12:55,960 | log | INFO | Start read the data
2023-08-15 13:15:00,350 | log | INFO | Start connecting to database...
2023-08-15 13:15:00,417 | log | INFO | Successfully connected...
2023-08-15 13:15:00,418 | log | INFO | Establishing Table
2023-08-15 13:15:00,424 | log | INFO | Start read the data
2023-08-15 13:16:33,327 | log | INFO | Start connecting to database...
2023-08-15 13:16:33,386 | log | INFO | Successfully connected...
2023-08-15 13:16:33,387 | log | INFO | Establishing Table
2023-08-15 13:16:33,395 | log | INFO | Start read the data
2023-08-15 13:16:33,395 | log | INFO | write db done
2023-08-15 13:16:40,287 | log | INFO | Start connecting to database...
2023-08-15 13:16:40,352 | log | INFO | Successfully connected...
2023-08-15 13:16:40,353 | log | INFO | Establishing Table
2023-08-15 13:16:40,360 | log | INFO | Start read the data
2023-08-15 13:16:40,361 | log | INFO | write db done
2023-08-15 13:17:26,725 | log | INFO | Start connecting to database...
2023-08-15 13:17:26,788 | log | INFO | Successfully connected...
2023-08-15 13:17:26,789 | log | INFO | Establishing Table
2023-08-15 13:17:26,797 | log | INFO | Start read the data
2023-08-15 13:17:34,794 | log | INFO | write db done
2023-08-15 13:17:43,043 | log | INFO | Start connecting to database...
2023-08-15 13:17:43,100 | log | INFO | Successfully connected...
2023-08-15 13:17:43,101 | log | INFO | Establishing Table
2023-08-15 13:17:43,108 | log | INFO | Start read the data
2023-08-15 13:19:47,854 | log | INFO | Start connecting to database...
2023-08-15 13:19:47,913 | log | INFO | Successfully connected...
2023-08-15 13:19:47,914 | log | INFO | Establishing Table
2023-08-15 13:19:47,921 | log | INFO | Start read the data
2023-08-15 13:21:31,566 | log | INFO | Start connecting to database...
2023-08-15 13:21:31,603 | log | INFO | Successfully connected...
2023-08-15 13:21:31,604 | log | INFO | Establishing Table
2023-08-15 13:21:31,611 | log | INFO | Start read the data
2023-08-15 13:21:31,614 | log | INFO | ----Completed 1 lines-----
2023-08-15 13:21:31,615 | log | INFO | ----Completed 2 lines-----
2023-08-15 13:21:31,616 | log | INFO | ----Completed 3 lines-----
2023-08-15 13:21:31,616 | log | INFO | Start inserting the 1 LOG data
2023-08-15 13:21:33,001 | log | INFO | Successfully inserted the 1 LOG data
2023-08-15 13:21:33,002 | log | INFO | Start inserting the 2 LOG data
2023-08-15 13:21:33,215 | log | INFO | Successfully inserted the 2 LOG data
2023-08-15 13:21:33,216 | log | INFO | Start inserting the 3 LOG data
2023-08-15 13:21:33,424 | log | INFO | Successfully inserted the 3 LOG data
2023-08-15 13:21:33,425 | log | INFO | write db done
2023-08-15 13:22:33,344 | log | INFO | Start connecting to database...
2023-08-15 13:22:33,376 | log | INFO | Successfully connected...
2023-08-15 13:22:33,378 | log | INFO | Establishing Table
2023-08-15 13:22:33,380 | log | INFO | Start read the data
2023-08-15 13:22:33,385 | log | INFO | ----Completed 1 lines-----
2023-08-15 13:22:33,386 | log | INFO | ----Completed 2 lines-----
2023-08-15 13:22:33,387 | log | INFO | ----Completed 3 lines-----
2023-08-15 13:22:33,387 | log | INFO | Start inserting the 1 LOG data
2023-08-15 13:22:34,811 | log | INFO | Successfully inserted the 1 LOG data
2023-08-15 13:22:34,812 | log | INFO | Start inserting the 2 LOG data
2023-08-15 13:22:35,036 | log | INFO | Successfully inserted the 2 LOG data
2023-08-15 13:22:35,036 | log | INFO | Start inserting the 3 LOG data
2023-08-15 13:22:35,236 | log | INFO | Successfully inserted the 3 LOG data
2023-08-15 13:22:35,237 | log | INFO | write db done
2023-08-15 13:23:13,266 | log | INFO | Start connecting to database...
2023-08-15 13:23:13,299 | log | INFO | Successfully connected...
2023-08-15 13:23:13,300 | log | INFO | Establishing Table
2023-08-15 13:23:13,303 | log | INFO | Start read the data
2023-08-15 13:23:13,305 | log | INFO | ----Completed 1 lines-----
2023-08-15 13:23:13,305 | log | INFO | ----Completed 2 lines-----
2023-08-15 13:23:13,306 | log | INFO | ----Completed 3 lines-----
2023-08-15 13:23:13,306 | log | INFO | Start inserting the 1 LOG data
2023-08-15 13:23:14,769 | log | INFO | Successfully inserted the 1 LOG data
2023-08-15 13:23:14,770 | log | INFO | Start inserting the 2 LOG data
2023-08-15 13:23:15,073 | log | INFO | Successfully inserted the 2 LOG data
2023-08-15 13:23:15,074 | log | INFO | Start inserting the 3 LOG data
2023-08-15 13:23:15,300 | log | INFO | Successfully inserted the 3 LOG data
2023-08-15 13:23:15,301 | log | INFO | write db done
2023-08-15 16:04:47,125 | log | INFO | Start connecting to database...
2023-08-15 16:04:47,266 | log | INFO | Successfully connected...
2023-08-15 16:04:47,268 | log | INFO | Establishing Table
2023-08-15 16:04:47,271 | log | INFO | Start read the data
2023-08-15 16:04:47,273 | log | INFO | ----Completed 1 lines-----
2023-08-15 16:04:47,273 | log | INFO | ----Completed 2 lines-----
2023-08-15 16:04:47,273 | log | INFO | ----Completed 3 lines-----
2023-08-15 16:04:47,274 | log | INFO | Start inserting the 1 LOG data
2023-08-15 16:04:48,700 | log | INFO | Successfully inserted the 1 LOG data
2023-08-15 16:04:48,701 | log | INFO | Start inserting the 2 LOG data
2023-08-15 16:04:48,910 | log | INFO | Successfully inserted the 2 LOG data
2023-08-15 16:04:48,911 | log | INFO | Start inserting the 3 LOG data
2023-08-15 16:04:49,120 | log | INFO | Successfully inserted the 3 LOG data
